label,group,model_type,skip_tfidf,model,tfidf_scheme,tfidf_ngram,tfidf_top_n,alpha,citation_beta,agg,chunk_tokens,chunk_stride,micro_f1_pct,micro_k,MAP_pct,MRR_pct,NDCG10_pct,elapsed_s,error
M_sbert_para,M,biencoder,False,sentence-transformers/paraphrase-MiniLM-L6-v2,augmented,4,200,0.8,0.0,max_chunk,256,128,39.7028,7,52.4853,76.6508,61.2798,186.6,
M_mpnet,M,biencoder,False,sentence-transformers/all-mpnet-base-v2,augmented,4,200,0.8,0.0,max_chunk,256,128,42.4368,7,57.3766,79.4895,66.1277,1174.0,
M_roberta,M,biencoder,False,sentence-transformers/all-roberta-large-v1,augmented,4,200,0.8,0.0,max_chunk,256,128,43.2342,8,57.4243,78.7467,66.5421,3683.4,
M_bert_base,M,biencoder,False,bert-base-uncased,augmented,4,200,0.8,0.0,max_chunk,256,128,41.7338,8,53.3817,75.5937,62.762,1163.1,
M_multiqa,M,biencoder,False,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,augmented,4,200,0.8,0.0,max_chunk,256,128,41.9005,8,55.2947,76.6659,63.848,323.1,
M_inlegalbert,M,biencoder,False,law-ai/InLegalBERT,augmented,4,200,0.8,0.0,max_chunk,256,128,42.4562,8,55.9201,78.7533,64.7511,1180.4,
M_incaselaw,M,biencoder,False,law-ai/InCaseLawBERT,augmented,4,200,0.8,0.0,max_chunk,256,128,41.5453,7,56.2013,78.8701,64.7637,1315.6,
M_legalbert,M,biencoder,False,nlpaueb/legal-bert-base-uncased,augmented,4,200,0.8,0.0,max_chunk,256,128,42.4733,9,56.1129,77.641,65.246,1281.4,
M_inlegalbert_a09,M,biencoder,False,law-ai/InLegalBERT,augmented,4,200,0.9,0.0,max_chunk,256,128,44.1789,8,58.2448,79.1946,67.275,1131.9,
M_incaselaw_a09,M,biencoder,False,law-ai/InCaseLawBERT,augmented,4,200,0.9,0.0,max_chunk,256,128,43.6232,8,58.2825,79.1156,67.2913,1091.6,
M_roberta_a09,M,biencoder,False,sentence-transformers/all-roberta-large-v1,augmented,4,200,0.9,0.0,max_chunk,256,128,44.3517,9,59.0351,79.214,68.0114,3136.7,
TN_top50,TN,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,50,0.8,0.0,max_chunk,256,128,42.7341,8,56.4647,77.497,65.0162,283.0,
TN_top100,TN,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,100,0.8,0.0,max_chunk,256,128,42.7935,7,56.6736,77.5616,65.1237,262.4,
TN_top150,TN,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,150,0.8,0.0,max_chunk,256,128,42.7935,7,56.7026,77.5677,65.0434,260.3,
TN_top300,TN,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,300,0.8,0.0,max_chunk,256,128,43.0906,7,56.8174,77.8422,65.521,263.4,
S_sum_top3,S,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,sum_top3,256,128,42.8452,8,57.3052,78.9124,66.36,262.8,
S_sum_top5,S,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,sum_top5,256,128,42.623,8,57.04,79.0901,65.9419,263.0,
S_inlegal_sum_top3,S,biencoder,False,law-ai/InLegalBERT,augmented,4,200,0.8,0.0,sum_top3,256,128,43.0906,7,57.358,79.1363,66.6252,1061.2,
CO_tfidf_b05,CO,tfidf_only,False,,augmented,4,200,0.95,0.05,max_chunk,256,128,44.5765,7,59.8136,79.3825,68.3896,18.8,
CO_tfidf_b10,CO,tfidf_only,False,,augmented,4,200,0.9,0.1,max_chunk,256,128,44.4577,7,59.829,79.6437,68.3367,18.8,
CO_tfidf_b20,CO,tfidf_only,False,,augmented,4,200,0.8,0.2,max_chunk,256,128,44.3982,7,59.6432,79.2971,68.1124,18.7,
CO_minilm_b10,CO,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.75,0.1,max_chunk,256,128,43.2095,7,57.5244,78.5372,66.1302,265.1,
CO_inlegal_b10,CO,biencoder,False,law-ai/InLegalBERT,augmented,4,200,0.75,0.1,max_chunk,256,128,43.0119,8,56.9281,78.7333,65.7954,1067.1,
CO_ce_b10,CO,crossencoder,False,cross-encoder/ms-marco-MiniLM-L-6-v2,augmented,4,100,0.55,0.1,max_chunk,256,128,21.7861,12,28.3379,53.4388,33.808,115.3,
T_minilm,T,biencoder,True,sentence-transformers/all-MiniLM-L6-v2,N/A,4,200,0.8,0.0,max_chunk,256,128,34.5652,8,40.4812,64.0278,49.3546,253.8,
T_mpnet,T,biencoder,True,sentence-transformers/all-mpnet-base-v2,N/A,4,200,0.8,0.0,max_chunk,256,128,32.7691,6,39.2793,63.9306,48.3444,1220.0,
T_inlegalbert,T,biencoder,True,law-ai/InLegalBERT,N/A,4,200,0.8,0.0,max_chunk,256,128,28.8969,8,33.2456,60.4333,42.54,1179.3,
T_incaselaw,T,biencoder,True,law-ai/InCaseLawBERT,N/A,4,200,0.8,0.0,max_chunk,256,128,29.2721,9,35.2758,62.3304,43.9975,1266.8,
